market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-BTC,2019-12-06,2019-12-06T09:00:00,8685000.0,8852000.0,8614000.0,8813000.0,1575676796356,26463749586.85809,3039.17313756,8685000.0,128000.0,0.0147380541
KRW-BTC,2019-12-07,2019-12-07T09:00:00,8815000.0,8897000.0,8776000.0,8784000.0,1575763199966,16856577567.12357,1910.69581081,8813000.0,-29000.0,-0.0032905934
KRW-BTC,2019-12-08,2019-12-08T09:00:00,8784000.0,8857000.0,8670000.0,8807000.0,1575849588934,17561562887.79252,2000.92140277,8784000.0,23000.0,0.0026183971
KRW-BTC,2019-12-09,2019-12-09T09:00:00,8807000.0,8891000.0,8640000.0,8679000.0,1575935996702,27444900233.5498,3125.56191138,8807000.0,-128000.0,-0.0145338935
KRW-BTC,2019-12-10,2019-12-10T09:00:00,8679000.0,8749000.0,8480000.0,8537000.0,1576022398835,25451639641.20134,2949.17212834,8679000.0,-142000.0,-0.016361332
KRW-BTC,2019-12-11,2019-12-11T09:00:00,8539000.0,8592000.0,8419000.0,8490000.0,1576108759722,16156817415.65165,1897.01475656,8537000.0,-47000.0,-0.0055054469
KRW-BTC,2019-12-12,2019-12-12T09:00:00,8490000.0,8566000.0,8360000.0,8437000.0,1576195188494,20772768614.45036,2457.07047864,8490000.0,-53000.0,-0.0062426384
KRW-BTC,2019-12-13,2019-12-13T09:00:00,8438000.0,8577000.0,8430000.0,8490000.0,1576281599623,18349093540.30931,2163.02130941,8437000.0,53000.0,0.0062818537
KRW-BTC,2019-12-14,2019-12-14T09:00:00,8490000.0,8520000.0,8200000.0,8277000.0,1576368000070,20194039087.57045,2408.92097104,8490000.0,-213000.0,-0.0250883392
KRW-BTC,2019-12-15,2019-12-15T09:00:00,8277000.0,8440000.0,8190000.0,8319000.0,1576454397150,15864899581.16213,1911.20234202,8277000.0,42000.0,0.0050743023
KRW-BTC,2019-12-16,2019-12-16T09:00:00,8319000.0,8347000.0,8017000.0,8050000.0,1576540799004,19139495161.41346,2333.04536211,8319000.0,-269000.0,-0.0323356173
KRW-BTC,2019-12-17,2019-12-17T09:00:00,8058000.0,8108000.0,7700000.0,7742000.0,1576627198673,36267738374.63466,4587.86377499,8050000.0,-308000.0,-0.0382608696
KRW-BTC,2019-12-18,2019-12-18T09:00:00,7741000.0,8668000.0,7546000.0,8466000.0,1576713597437,58866546299.65807,7394.86247818,7742000.0,724000.0,0.0935158874
KRW-BTC,2019-12-19,2019-12-19T09:00:00,8466000.0,8590000.0,8210000.0,8328000.0,1576799988235,37094382370.39195,4444.33915592,8466000.0,-138000.0,-0.0163004961
KRW-BTC,2019-12-20,2019-12-20T09:00:00,8329000.0,8395000.0,8241000.0,8338000.0,1576886394380,19260477837.46148,2315.68010263,8328000.0,10000.0,0.0012007685
KRW-BTC,2019-12-21,2019-12-21T09:00:00,8342000.0,8342000.0,8260000.0,8295000.0,1576972767899,7904936683.07831,952.39697702,8338000.0,-43000.0,-0.005157112
KRW-BTC,2019-12-22,2019-12-22T09:00:00,8295000.0,8696000.0,8277000.0,8689000.0,1577059193531,23008097682.24533,2717.8458866,8295000.0,394000.0,0.0474984931
KRW-BTC,2019-12-23,2019-12-23T09:00:00,8688000.0,8890000.0,8456000.0,8520000.0,1577145597852,47475904169.37631,5451.7473576,8689000.0,-169000.0,-0.0194498792
